profile_id_1,profile_id_2,pair_ID,wage_1,wage_2,mangender_1,mangender_2,flexschedule_1,flexschedule_2,parental_1,parental_2,skillsdev_1,skillsdev_2
1,210,102,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,low,high
1,211,103,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,low,low
1,212,104,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,low,moderate
1,213,105,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,low,high
1,214,106,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,low,low
1,215,107,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,low,moderate
1,216,108,-5%,+10%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,low,high
2,4,109,-5%,-5%,M,M,no influence,no influence,no additional leave,3 extra days,moderate,low
2,7,110,-5%,-5%,M,M,no influence,no influence,no additional leave,one extra week,moderate,low
2,10,111,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,13,112,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,16,113,-5%,-5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,19,114,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,22,115,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
2,25,116,-5%,-5%,M,M,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,28,117,-5%,-5%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,low
2,29,118,-5%,-5%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,moderate
2,30,119,-5%,-5%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,high
2,31,120,-5%,-5%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,low
2,32,121,-5%,-5%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,moderate
2,33,122,-5%,-5%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,high
2,34,123,-5%,-5%,M,F,no influence,no influence,no additional leave,one extra week,moderate,low
2,35,124,-5%,-5%,M,F,no influence,no influence,no additional leave,one extra week,moderate,moderate
2,36,125,-5%,-5%,M,F,no influence,no influence,no additional leave,one extra week,moderate,high
2,37,126,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,38,127,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,moderate
2,39,128,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,high
2,40,129,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,41,130,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,moderate
2,42,131,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,high
2,43,132,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,44,133,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,moderate
2,45,134,-5%,-5%,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,high
2,46,135,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,47,136,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,moderate
2,48,137,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,high
2,49,138,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
